FEN,White,Black,Move,Knight_Promo_Score,Queen_Promo_Score,Knight_Win_Prob,Queen_Win_Prob,Classification
8/6kP/2b5/p7/8/8/2B2Kp1/8 b - - 35 147,eabjabBOT,Nimfish,g2g1n,1,6,0.4991,0.4948,Equivalent
8/8/8/8/8/3K4/R3p3/3k4 b - - 3 149,SOLIDOR59,eabjabBOT,e2e1n,8,9999,0.493,0.0,Brilliant
8/K7/8/1P6/6k1/8/7p/8 b - - 1 59,Gogoud,inoname3434,h2h1n,355,-9985,0.224,1.0,Blunder
8/P7/7K/5k1P/8/8/8/8 w - - 1 74,cinder-bot,simbelmyne-bot,a7a8n,653,9993,0.9077,1.0,Style / Flex
8/8/8/8/8/1bQ5/2p1K3/1k1r4 b - - 3 111,ArasanX,Moment-That-Inspires,c2c1n,-29,0,0.5254,0.5,Equivalent
8/8/p7/P5N1/5K1k/2P5/6p1/8 b - - 1 57,freedomfighter1234,wblodw,g2g1n,818,981,0.054,0.0313,Equivalent
2Q5/3P1k2/2K2P2/4qb2/1p4pp/8/6P1/8 w - - 0 52,poik4m,antony50,d7d8n,-631,-723,0.099,0.0737,Equivalent
8/1BP3R1/1n1k4/2r5/4P3/3K4/8/8 w - - 49 81,Dragon-Komodo,eabjabBOT,c7c8n,39,39,0.5341,0.5341,Equivalent
3R4/5N2/n1kP1Bp1/5p2/8/1p6/1Pp1KP1P/8 b - - 0 43,Euwe-chess-engine,eggnog-chess-engine,c2c1n,739,815,0.07,0.0546,Equivalent
8/1P5R/2k5/K7/8/8/3r4/8 w - - 15 65,ArasanX,mayhem23111,b7b8n,4,3,0.5035,0.5026,Equivalent
4r2k/1q4bp/1r1p2p1/1P1R1p2/5P2/3Q1PPP/4p2K/4RB2 b - - 1 30,dadragonwarrior,Chu-do,e2f1n,-297,26,0.7388,0.4773,Brilliant
4Q3/2P5/1P6/3K4/8/8/5k2/8 w - - 1 71,cinder-bot,odonata-bot,c7c8n,9995,9998,1.0,1.0,Equivalent
2N1Q3/1P6/8/3K4/8/8/5k2/8 w - - 1 73,cinder-bot,odonata-bot,b7b8n,9993,9998,1.0,1.0,Equivalent
8/8/8/8/1p6/p3k3/5r1p/2K5 b - - 1 77,ChessTheBig12,KAVO_LIDER,h2h1n,-9998,-10000,1.0,1.0,Equivalent
8/8/8/2n5/8/3k4/pp1r4/6K1 b - - 1 93,ChessTheBig12,KAVO_LIDER,a2a1n,-9999,-10000,1.0,1.0,Equivalent
8/8/8/2n5/8/3k4/1p1r4/n4K2 b - - 1 94,ChessTheBig12,KAVO_LIDER,b2b1n,-9995,-10000,1.0,1.0,Equivalent
8/P7/2p5/2k4P/8/4p3/8/3K4 w - - 1 69,ToromBot,OlympusCz,a7a8n,604,9993,0.8923,1.0,Style / Flex
8/8/8/5K2/5n2/8/2p5/1k1r4 b - - 3 89,pawn_git,cinder-bot,c2c1n,-471,-9996,0.8387,1.0,Style / Flex
3r4/2qPP1kp/5pp1/8/3Q1P2/7P/6PK/8 w - - 1 48,Burjugul_7,Elfugitivo,e7e8n,9989,9982,1.0,1.0,Equivalent
8/2P1k3/1K6/1b1R4/8/8/1r6/8 w - - 0 74,daniel_chessbot,Lynx_BOT,c7c8n,25,-1,0.5219,0.4991,Equivalent
8/5p2/8/8/6P1/1k2N3/2pK4/8 b - - 3 55,eNErGyOFbEiNGbOT,YukariBot,c2c1n,553,574,0.1261,0.1183,Equivalent
3K4/2P2r2/3k4/8/8/8/8/8 w - - 1 98,ToromBot,LeelaChessTest,c7c8n,-26,-9999,0.4773,0.0,Brilliant
5b2/ppk1PP2/5Q2/1b1p4/3P4/2PN4/2qBKP2/8 w - - 1 29,filolog,ixci,e7e8n,579,0,0.8836,0.5,Brilliant
r4k2/1p2qp1p/2n2np1/p3P1Q1/2P4P/PP1r4/1B2Kp2/R5R1 b - - 1 22,DMD07,Lavretzkij_Roman,f2g1n,-575,-731,0.8821,0.9281,Equivalent
1k2rr2/3P4/1q6/2p1p1p1/Pp2Qp1p/3P1P1P/1R4P1/6K1 w - - 0 45,FireTorchV2,XShashX,d7e8n,-20,-37,0.4825,0.4677,Equivalent
7k/r3q2p/2p2Nb1/7P/3P1Q2/Pp3P2/1p1K4/6R1 b - - 1 32,MiroulLaSurie,stuwdrey,b2b1n,-357,-320,0.7772,0.754,Equivalent
2K5/1P5r/2k5/8/8/8/8/8 w - - 3 62,lyxxj,DrKerfuffle,b7b8n,-18,-9999,0.4843,0.0,Brilliant
8/8/8/8/1PK2k2/8/6p1/8 b - - 1 59,SaxtonEngine,cinder-bot,g2g1n,31,-9989,0.4729,1.0,Blunder
8/2P5/3kb2p/8/1p1K2P1/7P/8/8 w - - 1 60,pawn_git,cinder-bot,c7c8n,-665,-679,0.0889,0.085,Equivalent
5r2/2P1k3/8/4P3/R7/3K4/5p2/8 w - - 0 69,RaspFish,tomlesspit,c7c8n,-7,-9988,0.4939,0.0,Brilliant
8/6Pk/8/2K5/7P/8/8/8 w - - 1 49,Nikitosik-ai,XShashX,g7g8n,1,0,0.5009,0.5,Equivalent
8/8/1p5k/p1r5/8/1K3p2/3p4/8 b - - 1 55,El_Papi_Joshe,VenecoReyGatuno,d2d1n,-9995,-9997,1.0,1.0,Equivalent
8/8/1p5k/p1r5/8/1K6/5p2/3n4 b - - 1 57,El_Papi_Joshe,VenecoReyGatuno,f2f1n,-9996,-9997,1.0,1.0,Equivalent
8/5Q2/8/p2p2k1/P1pB2n1/2P3K1/5p2/8 b - - 1 57,Matrioshka_brain,YukariBot,f2f1n,9995,9995,0.0,0.0,Equivalent
8/4k1p1/p7/1p2p2P/4Pr2/2P1K3/1P3pB1/8 b - - 2 37,rhegz,ViennaDragon,f2f1n,-635,-724,0.9023,0.9265,Equivalent
4R3/2k5/8/8/4p2P/4N1K1/3p1PP1/4q3 b - - 9 44,eabjabBOT,duchessAI,d2d1n,-22,0,0.5192,0.5,Equivalent
8/5k2/8/3KP3/8/8/1p6/8 b - - 1 72,simbelmyne-bot,cinder-bot,b2b1n,0,-9991,0.5,1.0,Blunder
8/Pk6/8/P1P2P2/7b/4p3/8/3K4 w - - 1 48,duchessAI,eabjabBOT,a7a8n,53,18,0.5462,0.5157,Equivalent
7R/8/8/1rk5/8/8/K1p5/8 b - - 63 125,duchessAI,Licht94,c2c1n,-30,0,0.5262,0.5,Equivalent
r7/pkpP1N1r/1pn3p1/8/2Pp1PP1/1P6/P7/3R1RK1 w - - 1 26,PZChessBot,bot_adario,d7d8n,76,112,0.5661,0.5968,Equivalent
b5r1/2qknp1P/p1n1p3/1p1pP3/5P2/P1p5/2P1N1P1/1RB1KB1R w K - 1 19,duchessAI,eabjabBOT,h7g8n,-18,-19,0.4843,0.4834,Equivalent
8/8/8/8/6N1/4Kp2/3p2p1/7k b - - 5 73,Racingbottles,KhatanbaatarGM,d2d1n,-615,-9980,0.8959,1.0,Style / Flex
8/3P1k2/1p4p1/1P6/8/2Q4p/q6P/6K1 w - - 3 59,pawn_git,cinder-bot,d7d8n,15,-9999,0.5131,0.0,Brilliant
8/P1n5/1k4p1/4P1P1/2K5/8/8/8 w - - 1 84,CPU2002,CPU1998,a7a8n,0,0,0.5,0.5,Equivalent
8/8/8/8/3kp3/5pbp/2p1p3/7K b - - 1 64,Tartiflette-Sauvage,cow-lover,c2c1n,-9999,-10000,1.0,1.0,Equivalent
8/8/8/8/3kp3/5pbp/4p3/2n3K1 b - - 1 65,Tartiflette-Sauvage,cow-lover,e2e1n,-9997,-10000,1.0,1.0,Equivalent
8/8/8/8/3k4/3n1pbp/4p3/2n3K1 b - - 1 69,Tartiflette-Sauvage,cow-lover,e2e1n,-9997,-10000,1.0,1.0,Equivalent
8/2q3pp/2nN1p2/k1P1p3/P1Qn4/3K1P2/2p2P1P/8 b - - 1 37,Sasha_Trusova,Toro123,c2c1n,-525,-543,0.8627,0.8699,Equivalent
1R6/PPP3PP/8/8/8/8/1k6/7K w - - 1 59,Training22667121,Grrriii12,a7a8n,9996,9997,1.0,1.0,Equivalent
N1R5/1PP3PP/8/8/8/8/8/3k3K w - - 3 61,Training22667121,Grrriii12,b7b8n,9995,9997,1.0,1.0,Equivalent
NN1R4/2P3PP/8/8/8/8/8/1k5K w - - 3 63,Training22667121,Grrriii12,c7c8n,9996,9997,1.0,1.0,Equivalent
NNNR4/6PP/8/8/8/8/8/2k4K w - - 1 64,Training22667121,Grrriii12,g7g8n,9995,9997,1.0,1.0,Equivalent
8/5P2/8/2NK4/3P4/1R6/3k4/8 w - - 1 78,SmashTimeFools,Tartiflette-Sauvage,f7f8n,9993,9997,1.0,1.0,Equivalent
5N2/3P4/2K5/2N5/8/1R6/4k3/8 w - - 1 83,SmashTimeFools,Tartiflette-Sauvage,d7d8n,9994,9998,1.0,1.0,Equivalent
1Q6/3K4/R7/8/8/5k2/7p/8 b - - 1 70,cinder-bot,simbelmyne-bot,h2h1n,9993,9993,0.0,0.0,Equivalent
5K2/1r4P1/5k2/5P2/8/8/8/8 w - - 1 68,PZChessBot,CPU2002,g7g8n,-44,-9999,0.4616,0.0,Brilliant
8/8/p7/P7/8/3Kp3/5kp1/R7 b - - 3 65,ToromBot,ArasanX,g2g1n,0,0,0.5,0.5,Equivalent
8/8/6K1/8/4N3/8/3pk3/8 b - - 0 165,Euwe-chess-engine,daniel_chessbot,d2d1n,-8,0,0.507,0.5,Equivalent
8/2k1P2p/3r4/4Q3/8/3p4/6PP/5B1K w - - 0 46,QuCaNi,skunk_point,e7e8n,9994,9998,1.0,1.0,Equivalent
8/bB4P1/P4P2/k1pKP3/2P5/8/8/8 w - - 3 70,BlancAile1818,Sheikhshark,g7g8n,1263,9993,0.9881,1.0,Equivalent
8/6kP/8/8/8/5K2/8/8 w - - 1 87,cinder-bot,odonata-bot,h7h8n,0,0,0.5,0.5,Equivalent
8/8/8/8/8/3K4/2p4R/3k4 b - - 3 112,simbelmyne-bot,PZChessBot,c2c1n,16,9999,0.486,0.0,Brilliant
1b6/8/8/8/1N4K1/8/4pk2/8 b - - 91 119,DarkOnBot,ArasanX,e2e1n,-25,0,0.5219,0.5,Equivalent
8/B6R/2k4p/4Q3/8/5K1P/2P3p1/8 b - - 1 65,daniel_chessbot,InanisBot,g2g1n,9998,9999,0.0,0.0,Equivalent
6r1/R7/8/5k2/8/8/5p1K/8 b - - 13 102,TestBotL20,ayodia,f2f1n,-40,0,0.5349,0.5,Equivalent
2k5/8/8/4K3/8/8/2p5/8 b - - 1 69,pawn_git,cinder-bot,c2c1n,-1,-9991,0.5009,1.0,Blunder
8/8/8/2r2p1p/6pK/8/4pk2/8 b - - 1 65,Arkenmeister2025,KhatanbaatarGM,e2e1n,-9993,-9996,1.0,1.0,Equivalent
8/8/8/2r4p/5K2/8/5kp1/4n3 b - - 1 69,Arkenmeister2025,KhatanbaatarGM,g2g1n,-9996,-9999,1.0,1.0,Equivalent
8/8/8/2r5/7K/8/5k1p/4n1n1 b - - 1 73,Arkenmeister2025,KhatanbaatarGM,h2h1n,-9997,-9999,1.0,1.0,Equivalent
8/8/8/8/4k2p/6pP/r3ppK1/4R3 b - - 1 76,pawn_git,Ukraine-team-creator,f2e1n,-9998,0,1.0,0.5,Brilliant
R7/8/8/8/8/1kp5/p1p5/2K5 b - - 1 60,DenQ,erva20,a2a1n,473,425,0.1604,0.1843,Equivalent
8/5k2/3R1P2/8/8/4K3/3p1r2/8 b - - 3 62,fritzwalter,balelovale,d2d1n,-6,0,0.5052,0.5,Equivalent
8/8/8/8/8/1pppk2p/p5p1/3K4 b - - 1 86,trying3000,blindcrocodile,a2a1n,-9999,-10000,1.0,1.0,Equivalent
8/8/8/8/8/2ppk2p/1p4p1/n2K4 b - - 1 88,trying3000,blindcrocodile,b2b1n,-9999,-10000,1.0,1.0,Equivalent
8/8/8/8/8/nnppk3/6pp/3K4 b - - 1 92,trying3000,blindcrocodile,g2g1n,-9998,-10000,1.0,1.0,Equivalent
4r3/rP5k/N1P3p1/5p1p/2B1pn2/7P/6P1/4R2K w - - 1 44,Fade_To_Grey,Jianfenglanhuanghua9,b7b8n,82,404,0.5713,0.8044,Blunder
8/p1q1P1kp/b1N2bp1/P2Qp2n/B1p5/7P/1r4P1/2R4K w - - 2 29,SouthAfricanWolf,HomaBiorKro,e7e8n,435,324,0.8209,0.7566,Optimal
7K/1p3kP1/2p2n2/1p6/1P6/P1P5/8/8 w - - 7 49,emiliooo,Ordekalog,g7g8n,-9991,-9991,0.0,0.0,Equivalent
8/8/8/1p1b1p2/6k1/P4pP1/1PNp1K2/8 b - - 1 45,pupilochess86,adaajah_ah,d2d1n,-988,-10,0.9695,0.5087,Brilliant
8/4k1P1/8/6K1/2B5/r7/8/8 w - - 15 148,Euwe-chess-engine,eggnog-chess-engine,g7g8n,11,0,0.5096,0.5,Equivalent
8/1p1P1k1p/p7/6Q1/1Pr1P3/P1N2pPq/5n1P/3R2K1 w - - 3 33,avocado_s_kostochkoy,Max13041982,d7d8n,9997,-9999,1.0,0.0,Brilliant
8/8/8/2K5/8/6Q1/4k1p1/8 b - - 9 74,Nikitosik-ai,GlueWinner,g2g1n,9991,9992,0.0,0.0,Equivalent
8/6P1/3K1B1k/5Q2/8/8/8/8 w - - 5 71,Nikitosik-ai,GlueWinner,g7g8n,10000,0,1.0,0.5,Brilliant
8/6R1/8/8/4N1K1/8/7p/4nk2 b - - 9 78,cinder-bot,simbelmyne-bot,h2h1n,118,259,0.3982,0.2877,Brilliant
8/3k1P2/4n3/7K/8/8/8/5R2 w - - 9 65,Nikitosik-ai,Ukraine-team-creator,f7f8n,401,1168,0.8027,0.9835,Style / Flex
8/8/8/p2K4/Pb6/5k2/6p1/8 b - - 1 55,Ilikeknightmost,vistagusta,g2g1n,-737,-9994,0.9295,1.0,Style / Flex
8/6P1/5K2/2k5/8/8/8/8 w - - 1 77,cinder-bot,YukariBot,g7g8n,11,9993,0.5096,1.0,Blunder
b7/2k1P2p/P2q3r/2br2p1/6Q1/5P2/6PP/R3R2K w - - 1 31,Rekcirts,dedyka,e7e8n,540,-9999,0.8688,0.0,Brilliant
3K4/8/6k1/8/5p2/8/5p2/R7 b - - 1 102,MayhemPI_cluster,Nikitosik-ai,f2f1n,0,0,0.5,0.5,Equivalent
8/5pk1/3qr2p/1p1p2p1/p2P2P1/P1P1r1PP/1P2pQ1K/5RRB b - - 0 45,FataliiBot,Euwe-chess-engine,e2f1n,-561,-587,0.8769,0.8864,Equivalent
2b2r2/1p5k/2p3pp/2Pp4/1R1P2P1/1P3QNP/1P2pPK1/8 b - - 0 35,Yakudza011,filolog,e2e1n,-463,661,0.8349,0.09,Brilliant
1r6/4Pkp1/2n3p1/7p/N6P/4R3/1P4K1/8 w - - 1 52,tomlesspit,BOTshubham,e7e8n,-8,-15,0.493,0.4869,Equivalent
8/P1k5/2P4p/2KP2pP/2B3P1/8/8/3r4 w - - 1 69,KhatanbaatarGM,okriak,a7a8n,1056,9997,0.9758,1.0,Equivalent
8/7P/6k1/8/p7/P1K5/8/8 w - - 1 79,Nikitosik-ai,PetersBot,h7h8n,465,9984,0.8358,1.0,Style / Flex
1R6/4Ppkp/5bp1/8/3rpP2/2P5/6PP/6K1 w - - 0 33,S4tD008,WhiteBoader,e7e8n,497,661,0.8506,0.91,Style / Flex
1K6/P7/3n4/2q5/5k2/8/8/8 w - - 8 87,FireTorchV2,OlympusCz,a7a8n,-9998,-9998,0.0,0.0,Equivalent
8/1p1P3P/kB2P1P1/P4P2/8/8/8/6K1 w - - 1 65,Dubliverjochoppet,xander_01,h7h8n,9994,9998,1.0,1.0,Equivalent
7N/1p1P2P1/kB2P3/P4P2/8/8/8/6K1 w - - 1 67,Dubliverjochoppet,xander_01,g7g8n,9994,9997,1.0,1.0,Equivalent
6NN/1p1P1P2/1B2P3/Pk6/8/8/8/6K1 w - - 1 70,Dubliverjochoppet,xander_01,f7f8n,9994,9997,1.0,1.0,Equivalent
5NNN/1p1PP3/1B6/Pk6/8/8/8/6K1 w - - 1 72,Dubliverjochoppet,xander_01,e7e8n,9994,9996,1.0,1.0,Equivalent
4NNNN/1p1P4/kB6/P7/8/8/8/6K1 w - - 1 73,Dubliverjochoppet,xander_01,d7d8n,9990,9998,1.0,1.0,Equivalent
8/P7/1B6/2NN4/2NN4/2K5/k2N4/8 w - - 7 101,Dubliverjochoppet,xander_01,a7a8n,9998,10000,1.0,1.0,Equivalent
8/2P3r1/P7/2bB4/4p3/8/3k4/5K2 w - - 1 74,YukariBot,ToromBot,c7c8n,-9999,-9999,0.0,0.0,Equivalent
8/8/8/3p4/r2k4/5B2/p4K2/2R5 b - - 3 55,concentrat,kasparik_garik,a2a1n,-20,-464,0.5175,0.8353,Blunder
8/8/8/1p3kn1/1P1bp3/7p/4K1p1/8 b - - 3 59,olborg,ChesterF,g2g1n,-9995,-9997,1.0,1.0,Equivalent
8/1r3ppk/8/8/7P/2N2KP1/1p6/8 b - - 1 51,DR_speedrun_2700,Cloud_ec,b2b1n,-536,-686,0.8672,0.9169,Equivalent
8/8/8/8/8/p1K2B2/7p/6k1 b - - 5 77,MateWithRook_SF17DEV,ArasanX,h2h1n,-2,0,0.5017,0.5,Equivalent
8/8/8/8/4R3/2K5/1p6/2k5 b - - 5 78,fornax-engine,AkuBot,b2b1n,34,9999,0.4703,0.0,Brilliant
5Q2/6KP/8/3k4/3n4/8/8/8 w - - 1 77,cinder-bot,simbelmyne-bot,h7h8n,-11,9990,0.4904,1.0,Blunder
8/1P1k1p2/5p1p/1K2p3/4P3/p7/R4PPP/2r5 w - - 3 36,alexcoach,Iren_ahahah,b7b8n,314,0,0.7501,0.5,Brilliant
4B3/2k2PQ1/3N4/3K2P1/8/8/8/8 w - - 1 65,Aleator009,trying3000,f7f8n,9998,9998,1.0,1.0,Equivalent
8/2P5/3R4/1k4Bp/3P3P/5PK1/2r3P1/8 w - - 1 55,HoppingHippo2232953,HelloItsDmitri,c7c8n,682,703,0.9158,0.9213,Equivalent
8/8/2p5/1PP5/8/P3nk2/5rpK/8 b - - 1 50,xander_01,KAVO_LIDER,g2g1n,-9997,-9998,1.0,1.0,Equivalent
8/p4P1k/1b1B4/3B3p/4R3/6PK/1Pr2r1P/8 w - - 1 32,xander_01,orhanilu,f7f8n,344,-9999,0.7692,0.0,Brilliant
2r3k1/p1r2p1p/4p1p1/4P3/4BP2/b5PP/q1p1QB1K/7R b - - 1 31,chess-art-us,rasulovvugar,c2c1n,-570,-475,0.8803,0.8406,Equivalent
8/2k1P2p/2p3p1/4K3/3P4/7R/7P/5r2 w - - 1 47,LavishChess,Lerno1957,e7e8n,359,18,0.7784,0.5157,Brilliant
8/5k2/4b3/4R3/8/5PN1/4PK1p/2r5 b - - 1 83,AkuBot,InanisBot,h2h1n,-7,2,0.5061,0.4983,Equivalent
8/1p2Pkpp/p2K4/3P2P1/8/8/8/3r4 w - - 1 45,GlueWinner,CPU2002,e7e8n,-816,-957,0.0544,0.0339,Equivalent
4b3/1P6/4PR2/8/3N4/4K1k1/8/8 w - - 1 48,miki_train,Strelok2222,b7b8n,879,9997,0.9559,1.0,Equivalent
8/4P3/8/4N3/3NK3/8/5R2/3k4 w - - 9 59,miki_train,Strelok2222,e7e8n,9997,9998,1.0,1.0,Equivalent
8/r1P4R/3k1p2/3p4/8/2K1P1P1/5P2/8 w - - 0 47,DanyMany,Ertugal,c7c8n,822,635,0.9467,0.9023,Equivalent
5r2/p5Pk/1pb4p/2p5/P1B1p3/1P5q/1BP3PP/5RK1 w - - 1 31,PANGLIMABORAT,gouyidi,g7f8n,10000,9997,1.0,1.0,Equivalent
8/5n2/2k5/3pBP2/3P2B1/4b3/6Kp/8 b - - 0 72,Lynx_BOT,bot_adario,h2h1n,3,5,0.4974,0.4956,Equivalent
2r5/5KP1/8/7k/8/8/8/8 w - - 3 76,CruelKen,RaspFish,g7g8n,-8,0,0.493,0.5,Equivalent
3rrknR/5pp1/p2q4/7Q/P1pP4/2P2BP1/4pPK1/7R b - - 3 33,GrandByniolus,Abdurrahim_Tulegenov,e2e1n,92,9993,0.4202,0.0,Brilliant
8/8/8/8/8/4pbk1/7p/5K2 b - - 1 70,SlavyWall,Tudududu129,h2h1n,-9996,-10000,1.0,1.0,Equivalent
rr2n1k1/3RQpp1/7p/4p1P1/4P2P/2P1N3/qpNK4/5R2 b - - 3 30,Nikitosikbot_v2,OlympusCz,b2b1n,132,9991,0.3865,0.0,Brilliant
8/8/8/8/8/3K4/R3p3/3k4 b - - 3 68,duchessAI,OlympusCz,e2e1n,16,9999,0.486,0.0,Brilliant
8/P5P1/8/8/5K2/5P2/3Q4/1k6 w - - 1 71,alkash007,TrainedGrinder,g7g8n,9998,9999,1.0,1.0,Equivalent
6N1/P7/8/8/5K2/5P2/3Q4/k7 w - - 1 72,alkash007,TrainedGrinder,a7a8n,9997,9999,1.0,1.0,Equivalent
N5N1/5P2/8/8/4K3/8/3Q4/k7 w - - 1 78,alkash007,TrainedGrinder,f7f8n,9997,9999,1.0,1.0,Equivalent
8/2k1P3/1p6/5P2/4nnP1/8/6r1/5K2 w - - 5 85,GlueWinner,AlveBot,e7e8n,-9996,-9997,0.0,0.0,Equivalent
r5k1/p4pb1/7p/1B1R2p1/5p2/P5nP/1p4K1/1RB5 b - - 1 29,Norman1907,jne79,b2c1n,41,50,0.4642,0.4564,Equivalent
8/8/8/5k2/8/4K3/7p/5N2 b - - 1 55,OlympusCz,PositionalAI,h2h1n,0,0,0.5,0.5,Equivalent
8/3k1K2/8/4B3/2Q5/p7/p7/8 b - - 4 58,OlympusCz,YukariBot,a2a1n,9999,9999,0.0,0.0,Equivalent
8/6Pk/8/P7/4p3/8/6K1/8 w - - 1 60,Nikitosik-ai,OlympusCz,g7g8n,536,2370,0.8672,0.9998,Style / Flex
8/1P6/R7/8/8/5K2/p5p1/7k b - - 0 60,tomlesspit,magnusglad_bot,g2g1n,9994,9995,0.0,0.0,Equivalent
6K1/5n1P/6k1/8/8/8/8/8 w - - 6 62,Ac1000,XaMeJleoH,h7h8n,0,0,0.5,0.5,Equivalent
8/8/8/8/8/5K2/2R3p1/5k2 b - - 3 75,Tyumenskiy_KMC,uzb_2600,g2g1n,29,9999,0.4746,0.0,Brilliant
8/8/7p/6bP/4K1P1/1k6/p7/8 b - - 1 64,Tictoocchess,cbev378,a2a1n,-714,-9977,0.9241,1.0,Style / Flex
8/P7/4R3/8/8/1PB5/1KP1p3/3k4 b - - 1 57,Gianmarco_es,PaBr21,e2e1n,9999,9999,0.0,0.0,Equivalent
8/8/8/k1K5/P7/2N5/1p6/8 b - - 7 78,Chelanger-Bot,Lenya228_BOT,b2b1n,0,0,0.5,0.5,Equivalent
8/8/8/8/8/8/4Kpkp/5R2 b - - 3 61,SaVoSy,Ceburashka,h2h1n,0,0,0.5,0.5,Equivalent
8/8/8/8/3k4/8/pK6/8 b - - 1 102,OlympusBerserkCz,Nikitosik-ai,a2a1n,0,0,0.5,0.5,Equivalent
2r2b2/p3P1pk/2q3bp/1p1p3P/2p2B1Q/P7/1P3P2/R5K1 w - - 0 34,Gambitsever,Jan2010,e7f8n,-40,-23,0.4651,0.4799,Equivalent
r1bq1rk1/p3bppp/2P1p3/2p1P3/8/5N1P/PPp1QPP1/RNB2RK1 b - - 0 14,BlackBoarder,Aleator009,c2b1n,83,91,0.4279,0.421,Equivalent
8/5pk1/4p1p1/p2Q4/P7/1r5P/2R1p1K1/8 b - - 0 50,J_Oneee,MoonlightRider,e2e1n,-473,424,0.8396,0.1848,Brilliant
8/P4R2/8/8/4k3/2K5/8/r7 w - - 0 65,cinder-bot,Weiawaga,a7a8n,-4,-1,0.4965,0.4991,Equivalent
8/7P/8/8/8/3K4/1k6/8 w - - 0 82,cinder-bot,admonitor,h7h8n,0,9997,0.5,1.0,Blunder
8/8/8/8/5b2/8/Bp1k2Kp/8 b - - 87 131,PZChessBot,CPU2006,h2h1n,-5,0,0.5044,0.5,Equivalent
3Q4/1p2P1k1/p4p1n/P4P1q/1P1b4/1B6/5PK1/4R3 w - - 3 44,Euwe-chess-engine,FataliiBot,e7e8n,9994,9986,1.0,1.0,Equivalent
8/4PK2/3k4/5P2/8/8/4b3/8 w - - 1 108,AlwaysPlayMystery,Nikitosik-ai,e7e8n,4,0,0.5035,0.5,Equivalent
8/1P4Q1/p1k2p2/P1p5/6p1/5q2/3p3K/8 w - - 12 112,eabjabBOT,MateWithRook_SF17DEV,b7b8n,-69,-9998,0.4399,0.0,Brilliant
8/5kP1/8/B4K2/P7/8/8/8 w - - 1 69,Nikitosik-ai,TheUnforgivingBot,g7g8n,9991,9992,1.0,1.0,Equivalent
6K1/8/B7/8/8/8/1b1k1p2/8 b - - 13 149,ToromBot,Nikitosik-ai,f2f1n,-2,0,0.5017,0.5,Equivalent
8/5k1P/8/7K/8/6R1/5r2/8 w - - 1 69,Stockfish-MEDIUM,RaspFish,h7h8n,-4,0,0.4965,0.5,Equivalent
8/1P6/8/K3k3/8/1q6/8/8 w - - 1 77,FataliiBot,PZChessBot,b7b8n,-9996,-9996,0.0,0.0,Equivalent
1R6/2P3k1/8/8/8/8/5K2/2r5 w - - 13 64,cinder-bot,pawn_git,c7c8n,20,665,0.5175,0.9111,Blunder
Q5n1/pP6/k3N1p1/8/5p2/P1P5/2PB1P2/1R2K3 w - - 0 39,bot64jaques,Lynx_BOT,b7b8n,9999,9999,1.0,1.0,Equivalent
7Q/2P1kp2/6p1/8/7P/3r2NK/1p4P1/4q3 w - - 1 50,IguanaAstronaut,yiqulishang,c7c8n,-547,-9999,0.1285,0.0,Optimal
8/6P1/5k1P/8/4P1K1/4P3/r7/5q2 w - - 4 48,TheUnforgivingBot,Nikitosik-ai,g7g8n,-9997,-9998,0.0,0.0,Equivalent
8/4P2k/8/6K1/6P1/8/8/Q7 w - - 1 232,admonitor,cinder-bot,e7e8n,9999,0,1.0,0.5,Brilliant
8/8/8/6pk/8/3K4/7p/1r6 b - - 1 71,cheeseNet,Nikitosik-ai,h2h1n,-2390,-9995,0.9998,1.0,Equivalent
6K1/5P2/7b/8/8/4k2P/8/8 w - - 17 78,ArasanX,buffFishNet,f7f8n,9,0,0.5079,0.5,Equivalent
8/4p1P1/8/K7/P7/1k6/7Q/8 w - - 1 55,Nikitosik-ai,TheUnforgivingBot,g7g8n,9990,9997,1.0,1.0,Equivalent
3qrb1k/5Pp1/3p4/p1nNnN1P/Pp2P3/1Pr5/2P3Q1/1KB2R2 w - - 1 37,duchessAI,PZChessBot,f7e8n,502,483,0.8528,0.8443,Equivalent
6R1/8/8/3p3k/8/2P2K2/4r1p1/8 b - - 55 73,duchessAI,admonitor,g2g1n,-3,0,0.5026,0.5,Equivalent
8/4K3/8/8/7p/7P/4p1P1/3k4 b - - 1 62,Lynx_BOT,eabjabBOT,e2e1n,-614,-9990,0.8956,1.0,Style / Flex
8/7k/8/8/8/8/2K3pp/r7 b - - 1 59,buffFishNet,Nikitosik-ai,g2g1n,-9994,-9996,1.0,1.0,Equivalent
3Q4/2Pq4/3kp3/2R5/1P1b1P2/1K6/4p1P1/8 w - - 2 60,DarkOnBot,OlympusCz,c7c8n,10000,9999,1.0,1.0,Equivalent
5rk1/8/p5P1/8/2p3P1/8/PKB1p3/3R4 b - - 3 39,odonata-bot,cinder-bot,e2d1n,-1,-10,0.5009,0.5087,Equivalent
6K1/6PP/6k1/8/8/8/8/r7 w - - 1 69,No_signs_of_V,sebastien17,h7h8n,-438,-9999,0.1776,0.0,Optimal
7k/1KP5/8/8/8/8/8/8 w - - 0 68,cinder-bot,Lynx_BOT,c7c8n,0,9993,0.5,1.0,Blunder
5rr1/3k2P1/1n1p3B/4n3/1p6/pP3p2/P1P5/1K4R1 w - - 0 45,PZChessBot,GNU4u,g7f8n,-445,-453,0.174,0.17,Equivalent
