FEN,White,Black,Move,Knight_Promo_Score,Queen_Promo_Score,Knight_Win_Prob,Queen_Win_Prob,Classification
5q2/7P/6k1/8/7K/8/8/8 w - - 0 60,ViennaDragon,gAAAmbit,h7h8n,-9993,-9993,0.0,0.0,Equivalent
4R3/7P/5b2/1k6/p2P1P2/4P3/4K3/8 w - - 2 59,kasparik_garik,KhatanbaatarGM,h7h8n,564,818,0.878,0.946,Style / Flex
4R3/P7/8/8/3K4/5Q2/7k/8 w - - 1 58,cinder-bot,pawn_git,a7a8n,9998,9999,1.0,1.0,Equivalent
8/5P2/6K1/2k5/8/6P1/8/1R6 w - - 1 98,Nikitosik-ai,colinbot,f7f8n,9989,9996,1.0,1.0,Equivalent
8/2b5/2P2p2/2PK4/8/5k2/4p3/8 b - - 1 57,spectraline,TheMaskedFelon,e2e1n,-227,-9988,0.6888,1.0,Style / Flex
8/5p2/2K3kp/8/3q4/8/p7/8 b - - 1 74,klopji,Mettigel,a2a1n,-9992,-9998,1.0,1.0,Equivalent
4r3/6p1/p2R3p/2pP4/P1P3k1/2Pn1NP1/4p1KP/8 b - - 2 39,Meltd0wn,PZChessBot,e2e1n,-563,-278,0.8777,0.7257,Optimal
8/1P6/1K2p3/3kn3/8/8/8/8 w - - 0 64,InanisBot,PerseusBot,b7b8n,-11,-627,0.4904,0.1002,Brilliant
8/4P1k1/3q4/2p5/8/3B4/3N4/3K4 w - - 0 47,Euwe-chess-engine,LimboBot,e7e8n,419,10,0.8125,0.5087,Brilliant
6R1/8/P6k/5K2/r7/8/6p1/8 b - - 1 59,CPU2002,AkuBot,g2g1n,9,0,0.4921,0.5,Equivalent
8/8/8/8/8/4K3/1R3p2/4k3 b - - 7 90,tomlesspit,project-shashchess,f2f1n,42,9999,0.4633,0.0,Brilliant
5K2/6P1/3kq3/8/8/8/8/8 w - - 15 72,chess-2-bot,InanisBot,g7g8n,-9994,-9999,0.0,0.0,Equivalent
